FID,gis_id,ssc_code,ssc_name,lga_code,Total_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time_Vic,Total_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time_Vic,Total_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work_Vic,Total_Persons_Unemployed,Percentage_Persons_Unemployed,Percentage_Persons_Unemployed_Vic,Year
employment_suburb.fid-70a927cd_165b71c4c19_290b,40,SSC20040,Amphitheatre,LGA25990,51,52.58,58.08,27,27.84,32.02,9,9.28,3.19,10,10.31,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_290c,2862,SSC22862,Wycheproof,LGA21270,123,53.25,58.08,89,38.53,32.02,11,4.76,3.19,8,3.46,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_290d,1785,SSC21785,Mount Glasgow,LGA21670,13,39.39,58.08,13,39.39,32.02,0,0,3.19,7,21.21,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_290e,43,SSC20043,Anderson,LGA20740,8,66.67,58.08,4,33.33,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_290f,50,SSC20050,Appin South,LGA22250,13,81.25,58.08,3,18.75,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2910,2313,SSC22313,Springfield,LGA21270,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2911,62,SSC20062,Ardmona,LGA22830,157,61.09,58.08,76,29.57,32.02,15,5.84,3.19,9,3.5,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2912,63,SSC20063,Areegra,LGA27630,9,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2913,1786,SSC21786,Mount Helen,LGA20570,721,48.32,58.08,571,38.27,32.02,82,5.5,3.19,118,7.91,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2914,48,SSC20048,Apollo Bay,LGA21750,323,43.59,58.08,343,46.29,32.02,57,7.69,3.19,18,2.43,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2915,1055,SSC21055,Gonn Crossing,LGA22250,21,58.33,58.08,12,33.33,32.02,3,8.33,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2916,59,SSC20059,Archerton,LGA21010,6,66.67,58.08,3,33.33,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2917,60,SSC20060,Archies Creek,LGA20740,10,71.43,58.08,4,28.57,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2918,886,SSC20886,Euroa,LGA26430,692,53.27,58.08,486,37.41,32.02,59,4.54,3.19,62,4.77,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2919,2634,SSC22634,Wairewa,LGA22110,15,57.69,58.08,11,42.31,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_291a,734,SSC20734,Derby,LGA23940,4,44.44,58.08,5,55.56,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_291b,1495,SSC21495,Lilydale,LGA27450,4985,58.8,58.08,2821,33.27,32.02,274,3.23,3.19,398,4.69,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_291c,72,SSC20072,Ascot,LGA20570,22,47.83,58.08,21,45.65,32.02,3,6.52,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_291d,2164,SSC22164,Ringwood North,LGA24410,2973,57.77,58.08,1778,34.55,32.02,151,2.93,3.19,244,4.74,6.71,2016
